%----------------------------------------------------------------
%  Reference : H. Abe, R.A.Antonia and H. Kawamura,
%  "Correlation between small-scale velocity 
%  and scalar fluctuations in a turbulent channel flow," 
%  J. Fluid Mech., Vol. 627, pp. 1-32 (2009).
%  DOI: https://doi.org/10.1017/S0022112008005569
%----------------------------------------------------------------
Case: cha180

Nomenclature:
     delta = channel half width
     nu = kinematic viscosity
     p = pressure fluctuation
     Re_bulk = Um*2delta/nu : Bulk Reynolds number
     Re_tau = u_tau*delta/nu : Friction Reynolds number
     rho = density
     Um = bulk mean velocity
     u_mean = streamwise mean velocity
     u, v, w = streamwise, wall-normal and spanwise velocity fluctuations
     u_i = ith component of velocity fluctuations
     u_tau = friction velocity
     x, y, z = streamwise, wall-normal and spanwise directions

     + = normalized by wall units (u_tau, nu and rho)
     rms = root-mean-square value


1. Numerical Methodology

1.1. Governing equations
     Navier-Stokes equation and the continuity equation for flow field,
     and the energy equation for thermal field.

1.2. Discretization method
     Finite Difference Method was adopted.
     The fourth-order central difference scheme was adopted in the streamwise and
     spanwise directions, and the second-order central difference scheme was used
     in the wall-normal direction.

1.3. Spatial resolution
     3.00 and 3.00 wall units in the x- and z-directions
     and 0.20 to 5.93 wall units in the y-direction.

1.4. Time advancement
     The Crank-Nicolson method for the viscous terms with wall-normal derivatives
     and the third-order Runge-Kutta method for the other terms.

1.5. Computational volume
     12.8*delta x 2*delta x 6.4*delta.

1.6. Grid
     Staggered grid

1.7. Mesh number
     768 x 128 x 384

1.8. Criterion for stationary state
     The steady state is identified by 
     total shear stress & turbulent kinetic energy for velocity field
     and total heat flux & temperature variance for temperature field.

1.9. Period of time integration for ensemble averaging
     About 3,960 non-dimensional units of time (nu/u_tau^2)
     after the flow reaches the fully developed state.  


2. Conditions

2.1. Specified conditions

     Re_tau = 180

2.2. Obtained mean quantities

     Re_bulk = 5546


3. Turbulence statistics

 j       y+           u_mean+          uu+            ww+
57   1.363518e+02   1.792423e+01   9.884669e-01   4.991701e-01
58   1.419962e+02   1.801848e+01   9.159062e-01   4.721319e-01
59   1.477145e+02   1.810337e+01   8.472967e-01   4.472163e-01
60   1.534961e+02   1.817748e+01   7.845807e-01   4.251536e-01
61   1.593306e+02   1.823940e+01   7.297058e-01   4.067861e-01
62   1.652062e+02   1.828760e+01   6.849288e-01   3.924729e-01
63   1.711116e+02   1.832063e+01   6.526432e-01   3.826517e-01
64   1.770354e+02   1.833746e+01   6.346253e-01   3.779711e-01


 j       y+             vv+           -uv+
 1   4.011372e-01   2.017313e-06   5.102374e-05
 2   8.276940e-01   3.082708e-05   4.537270e-04
 3   1.281215e+00   1.540773e-04   1.704504e-03
 4   1.763334e+00   4.833951e-04   4.475801e-03
 5   2.275765e+00   1.171519e-03   9.608575e-03
 6   2.820323e+00   2.407360e-03   1.806606e-02
 7   3.398911e+00   4.409524e-03   3.084479e-02
 8   4.013532e+00   7.418913e-03   4.885039e-02
 9   4.666284e+00   1.169105e-02   7.275845e-02
10   5.359428e+00   1.748862e-02   1.028884e-01
11   6.095232e+00   2.507460e-02   1.391186e-01
12   6.876108e+00   3.470569e-02   1.808631e-01
13   7.704684e+00   4.662558e-02   2.271146e-01
14   8.583516e+00   6.105716e-02   2.765464e-01
15   9.515484e+00   7.819267e-02   3.276520e-01
16   1.050340e+01   9.818174e-02   3.788957e-01
17   1.155028e+01   1.211176e-01   4.288489e-01
18   1.265926e+01   1.470234e-01   4.762912e-01
19   1.383361e+01   1.758399e-01   5.202692e-01
20   1.507662e+01   2.074156e-01   5.601146e-01
21   1.639181e+01   2.415015e-01   5.954310e-01
22   1.778270e+01   2.777498e-01   6.260609e-01
23   1.925298e+01   3.157204e-01   6.520396e-01
24   2.080634e+01   3.548943e-01   6.735405e-01
25   2.244668e+01   3.946929e-01   6.908168e-01
26   2.417782e+01   4.344985e-01   7.041564e-01
27   2.600377e+01   4.736743e-01   7.138618e-01
28   2.792851e+01   5.115906e-01   7.202380e-01
29   2.995600e+01   5.476473e-01   7.235737e-01
30   3.209029e+01   5.812810e-01   7.241261e-01
31   3.433536e+01   6.119605e-01   7.221318e-01
32   3.669516e+01   6.392055e-01   7.178317e-01
33   3.917340e+01   6.626271e-01   7.114649e-01
34   4.177404e+01   6.819525e-01   7.032465e-01
35   4.450068e+01   6.970369e-01   6.933720e-01
36   4.735656e+01   7.078901e-01   6.820175e-01
37   5.034528e+01   7.146893e-01   6.693034e-01
38   5.346900e+01   7.177208e-01   6.553112e-01
39   5.673132e+01   7.173085e-01   6.401354e-01
40   6.013404e+01   7.137959e-01   6.238512e-01
41   6.367932e+01   7.075507e-01   6.064686e-01
42   6.736824e+01   6.988746e-01   5.880125e-01
43   7.120224e+01   6.879954e-01   5.685424e-01
44   7.518132e+01   6.751280e-01   5.480881e-01
45   7.930620e+01   6.604838e-01   5.266754e-01
46   8.357508e+01   6.442853e-01   5.043620e-01
47   8.798724e+01   6.267892e-01   4.812187e-01
48   9.254088e+01   6.083567e-01   4.572879e-01
49   9.723240e+01   5.893595e-01   4.325832e-01
50   1.020586e+02   5.701243e-01   4.071353e-01
51   1.070154e+02   5.509425e-01   3.809736e-01
52   1.120972e+02   5.319968e-01   3.541363e-01
53   1.172988e+02   5.135411e-01   3.266659e-01
54   1.226128e+02   4.960553e-01   2.985971e-01
55   1.280326e+02   4.799812e-01   2.699899e-01
56   1.335492e+02   4.655542e-01   2.409372e-01
57   1.391540e+02   4.528713e-01   2.115100e-01
58   1.448381e+02   4.420750e-01   1.817675e-01
59   1.505909e+02   4.332328e-01   1.517746e-01
60   1.564016e+02   4.262568e-01   1.216034e-01
61   1.622596e+02   4.210915e-01   9.134921e-02
62   1.681531e+02   4.175980e-01   6.109791e-02
63   1.740704e+02   4.156123e-01   3.087359e-02
64   1.800000e+02   4.151424e-01   6.956392e-04


4. Budgets of transport equations

Budget of uu+ :

       y+            Prod.           Diss.       vel_p_grad.     Turb_Diff.    Mole_Diff.        Res.    
   2.005679e-01   2.461314e-05   3.840319e-05   6.498959e-04   2.692524e-01   2.699656e-01  -2.663091e-07
   6.144156e-01   4.075781e-04   6.104428e-04   1.222934e-03   2.667378e-01   2.689390e-01   3.980974e-05
   1.054454e+00   1.953552e-03   2.825664e-03   1.134269e-03   2.628428e-01   2.686723e-01   8.394123e-05
   1.522274e+00   5.804058e-03   8.001051e-03   4.206940e-04   2.539763e-01   2.680865e-01   1.155680e-04
   2.019550e+00   1.339977e-02   1.723719e-02  -8.674839e-04   2.364442e-01   2.660937e-01   1.199442e-04
   2.548044e+00   2.636474e-02   3.080350e-02  -2.671455e-03   2.073753e-01   2.617816e-01   9.049738e-05
   3.109619e+00   4.626754e-02   4.754972e-02  -4.927282e-03   1.658593e-01   2.547130e-01   3.621670e-05
   3.706236e+00   7.427161e-02   6.470611e-02  -7.568057e-03   1.137288e-01   2.451541e-01  -1.568783e-05
   4.339908e+00   1.107398e-01   7.832716e-02  -1.052545e-02   5.550597e-02   2.340761e-01  -2.868753e-05
   5.012856e+00   1.549059e-01   8.432590e-02  -1.373099e-02  -2.588175e-03   2.228865e-01   2.611704e-05
   5.727312e+00   2.047397e-01   7.972285e-02  -1.711713e-02  -5.419843e-02   2.129922e-01   1.548603e-04
   6.485652e+00   2.570906e-01   6.360464e-02  -2.061781e-02  -9.435962e-02   2.053811e-01   3.366401e-04
   7.290396e+00   3.081118e-01   3.742546e-02  -2.416872e-02  -1.204506e-01   2.003860e-01   5.320217e-04
   8.144100e+00   3.538712e-01   4.588110e-03  -2.770747e-02  -1.323650e-01   1.976880e-01   6.988440e-04
   9.049500e+00   3.909862e-01  -3.047159e-02  -3.117433e-02  -1.320201e-01   1.965132e-01   8.070104e-04
   1.000944e+01   4.171212e-01  -6.333523e-02  -3.451394e-02  -1.225159e-01   1.959100e-01   8.461345e-04
   1.102684e+01   4.312344e-01  -9.045998e-02  -3.767777e-02  -1.072708e-01   1.950012e-01   8.246084e-04
   1.210478e+01   4.335518e-01  -1.096614e-01  -4.062591e-02  -8.935578e-02   1.931459e-01   7.628397e-04
   1.324642e+01   4.253253e-01  -1.201970e-01  -4.332732e-02  -7.112092e-02   1.899950e-01   6.851070e-04
   1.445512e+01   4.084748e-01  -1.225381e-01  -4.575900e-02  -5.410728e-02   1.854576e-01   6.128617e-04
   1.573423e+01   3.852173e-01  -1.179694e-01  -4.790585e-02  -3.916772e-02   1.796144e-01   5.598524e-04
   1.708726e+01   3.577534e-01  -1.081695e-01  -4.976190e-02  -2.666264e-02   1.726285e-01   5.308980e-04
   1.851782e+01   3.280473e-01  -9.487192e-02  -5.133094e-02  -1.663266e-02   1.646869e-01   5.248727e-04
   2.002964e+01   2.977062e-01  -7.963256e-02  -5.262466e-02  -8.936873e-03   1.559754e-01   5.367072e-04
   2.162650e+01   2.679499e-01  -6.372729e-02  -5.365621e-02  -3.325087e-03   1.466821e-01   5.592519e-04
   2.331223e+01   2.396415e-01  -4.816757e-02  -5.443163e-02   5.528498e-04   1.370066e-01   5.885593e-04
   2.509081e+01   2.133431e-01  -3.370294e-02  -5.494587e-02   3.064982e-03   1.271387e-01   6.205809e-04
   2.696612e+01   1.893737e-01  -2.081145e-02  -5.518130e-02   4.506556e-03   1.172391e-01   6.484430e-04
   2.894227e+01   1.678681e-01  -9.770652e-03  -5.510779e-02   5.143294e-03   1.074647e-01   6.682529e-04
   3.102314e+01   1.488355e-01  -7.528426e-04  -5.469104e-02   5.288542e-03   9.799621e-02   6.839434e-04
   3.321284e+01   1.321962e-01   6.178395e-03  -5.390944e-02   5.227376e-03   8.899063e-02   7.018596e-04
   3.551526e+01   1.177884e-01   1.116363e-02  -5.277107e-02   5.050109e-03   8.051696e-02   7.140855e-04
   3.793428e+01   1.053805e-01   1.448338e-02  -5.129714e-02   4.737179e-03   7.258759e-02   7.163291e-04
   4.047372e+01   9.470812e-02   1.643280e-02  -4.951204e-02   4.308673e-03   6.522001e-02   7.175486e-04
   4.313736e+01   8.550468e-02   1.730631e-02  -4.746736e-02   3.810321e-03   5.842973e-02   7.242196e-04
   4.592880e+01   7.751676e-02   1.741591e-02  -4.524074e-02   3.248996e-03   5.221264e-02   7.282888e-04
   4.885092e+01   7.053214e-02   1.701078e-02  -4.288267e-02   2.647559e-03   4.658064e-02   7.271679e-04
   5.190696e+01   6.438962e-02   1.617214e-02  -4.041669e-02   2.129121e-03   4.154736e-02   7.268377e-04
   5.510016e+01   5.894459e-02   1.496286e-02  -3.789443e-02   1.773587e-03   3.707825e-02   7.083584e-04
   5.843268e+01   5.406399e-02   1.354926e-02  -3.535632e-02   1.519177e-03   3.311359e-02   6.625135e-04
   6.190668e+01   4.966793e-02   1.208616e-02  -3.281072e-02   1.283470e-03   2.961879e-02   6.080448e-04
   6.552360e+01   4.570505e-02   1.062483e-02  -3.030208e-02   1.095890e-03   2.656098e-02   5.627148e-04
   6.928524e+01   4.210663e-02   9.267927e-03  -2.790997e-02   9.299390e-04   2.387610e-02   5.184166e-04
   7.319196e+01   3.880668e-02   8.107623e-03  -2.567474e-02   7.526188e-04   2.151179e-02   4.803913e-04
   7.724376e+01   3.575900e-02   7.152698e-03  -2.360346e-02   5.738704e-04   1.943383e-02   4.482720e-04
   8.144064e+01   3.290480e-02   6.365482e-03  -2.167760e-02   4.145074e-04   1.759602e-02   4.111765e-04
   8.578116e+01   3.017672e-02   5.706492e-03  -1.987225e-02   3.084844e-04   1.595528e-02   3.641681e-04
   9.026388e+01   2.753853e-02   5.185976e-03  -1.816879e-02   2.443726e-04   1.448699e-02   3.130942e-04
   9.488664e+01   2.499241e-02   4.812138e-03  -1.656426e-02   2.023424e-04   1.317754e-02   2.650941e-04
