# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = u
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,u
-0.14360,1.12307
-0.14266,1.12305
-0.14171,1.12294
-0.14077,1.12284
-0.13983,1.12258
-0.13889,1.1223
-0.13795,1.12206
-0.13701,1.12179
-0.13606,1.12147
-0.13512,1.12126
-0.13418,1.12098
-0.13324,1.12087
-0.13230,1.12071
-0.13136,1.12051
-0.13041,1.12026
-0.12947,1.11998
-0.12853,1.11965
-0.12759,1.11933
-0.12665,1.11902
-0.12571,1.11876
-0.12476,1.11843
-0.12382,1.11813
-0.12288,1.11783
-0.12194,1.11749
-0.12100,1.11723
-0.12006,1.11694
-0.11911,1.11663
-0.11817,1.1163
-0.11723,1.116
-0.11629,1.11565
-0.11535,1.11533
-0.11441,1.11492
-0.11347,1.11453
-0.11252,1.11415
-0.11158,1.11366
-0.11064,1.11317
-0.10970,1.11307
-0.10876,1.11291
-0.10782,1.11275
-0.10687,1.11253
-0.10593,1.11228
-0.10499,1.11202
-0.10405,1.11209
-0.10311,1.11196
-0.10217,1.11173
-0.10122,1.11141
-0.10028,1.11105
-0.09934,1.11058
-0.09840,1.11001
-0.09746,1.10936
-0.09652,1.10862
-0.09557,1.10779
-0.09463,1.10694
-0.09369,1.10599
-0.09275,1.10496
-0.09181,1.10373
-0.09087,1.10236
-0.08992,1.10093
-0.08898,1.09948
-0.08804,1.09796
-0.08710,1.09641
-0.08616,1.09483
-0.08522,1.0932
-0.08427,1.09152
-0.08333,1.08979
-0.08239,1.08805
-0.08145,1.08632
-0.08051,1.08463
-0.07957,1.08307
-0.07863,1.08148
-0.07768,1.08023
-0.07674,1.0789
-0.07580,1.07757
-0.07486,1.07612
-0.07392,1.07501
-0.07298,1.07379
-0.07203,1.07236
-0.07109,1.07084
-0.07015,1.06929
-0.06921,1.06751
-0.06827,1.06569
-0.06733,1.06375
-0.06638,1.06192
-0.06544,1.06001
-0.06450,1.05807
-0.06356,1.05615
-0.06262,1.05432
-0.06168,1.05229
-0.06073,1.05024
-0.05979,1.04806
-0.05885,1.04601
-0.05791,1.04388
-0.05697,1.04172
-0.05603,1.03948
-0.05508,1.03718
-0.05414,1.03483
-0.05320,1.0324
-0.05226,1.02993
-0.05132,1.02764
-0.05038,1.02525
-0.04944,1.02331
-0.04849,1.02134
-0.04755,1.0193
-0.04661,1.0172
-0.04567,1.0151
-0.04473,1.01284
-0.04379,1.01044
-0.04284,1.00802
-0.04190,1.00564
-0.04096,1.0032
-0.04002,1.00085
-0.03908,0.998441
-0.03814,0.996282
-0.03719,0.994047
-0.03625,0.991747
-0.03531,0.989534
-0.03437,0.987395
-0.03343,0.984822
-0.03249,0.982483
-0.03154,0.980025
-0.03060,0.977583
-0.02966,0.975056
-0.02872,0.972405
-0.02778,0.969318
-0.02684,0.96614
-0.02589,0.962936
-0.02495,0.959913
-0.02401,0.956802
-0.02307,0.954034
-0.02213,0.951198
-0.02119,0.948728
-0.02024,0.946159
-0.01930,0.943502
-0.01836,0.940715
-0.01742,0.937909
-0.01648,0.93504
-0.01554,0.932146
-0.01460,0.929266
-0.01365,0.926488
-0.01271,0.923629
-0.01177,0.920552
-0.01083,0.917452
-0.00989,0.91444
-0.00895,0.911444
-0.00800,0.908876
-0.00706,0.906312
-0.00612,0.903816
-0.00518,0.901289
-0.00424,0.898942
-0.00330,0.896467
-0.00235,0.894174
-0.00141,0.891491
-0.00047,0.888887
0.00047,0.886208
0.00141,0.883444
0.00235,0.88024
0.00330,0.877389
0.00424,0.87461
0.00518,0.872214
0.00612,0.86971
0.00706,0.867261
0.00800,0.864715
0.00895,0.862135
0.00989,0.859312
0.01083,0.856458
0.01177,0.853505
0.01271,0.850565
0.01365,0.847428
0.01460,0.844381
0.01554,0.841241
0.01648,0.838124
0.01742,0.834761
0.01836,0.831365
0.01930,0.827893
0.02024,0.824459
0.02119,0.82102
0.02213,0.81759
0.02307,0.814225
0.02401,0.810852
0.02495,0.807314
0.02589,0.803849
0.02684,0.799895
0.02778,0.796629
0.02872,0.793292
0.02966,0.790098
0.03060,0.78678
0.03154,0.7835
0.03249,0.780274
0.03343,0.77714
0.03437,0.773919
0.03531,0.771567
0.03625,0.76898
0.03719,0.766386
0.03814,0.763397
0.03908,0.760415
0.04002,0.757358
0.04096,0.754118
0.04190,0.750743
0.04284,0.747451
0.04379,0.743809
0.04473,0.740057
0.04567,0.736184
0.04661,0.732268
0.04755,0.728427
0.04849,0.724985
0.04944,0.721556
0.05038,0.718082
0.05132,0.714388
0.05226,0.710552
0.05320,0.706325
0.05414,0.702096
0.05508,0.697404
0.05603,0.692686
0.05697,0.687957
0.05791,0.683343
0.05885,0.678677
0.05979,0.674024
0.06073,0.669371
0.06168,0.664796
0.06262,0.66013
0.06356,0.655673
0.06450,0.651484
0.06544,0.647655
0.06638,0.643823
0.06733,0.640141
0.06827,0.636104
0.06921,0.632101
0.07015,0.628106
0.07109,0.624085
0.07203,0.619997
0.07298,0.616885
0.07392,0.61359
0.07486,0.610697
0.07580,0.607651
0.07674,0.604369
0.07768,0.601177
0.07863,0.598018
0.07957,0.594478
0.08051,0.591029
0.08145,0.587128
0.08239,0.583261
0.08333,0.579246
0.08427,0.575346
0.08522,0.57141
0.08616,0.567575
0.08710,0.563717
0.08804,0.559877
0.08898,0.556014
0.08992,0.552243
0.09087,0.548382
0.09181,0.544621
0.09275,0.540862
0.09369,0.537146
0.09463,0.533515
0.09557,0.530419
0.09652,0.527326
0.09746,0.524453
0.09840,0.521646
0.09934,0.519667
0.10028,0.51775
0.10122,0.515901
0.10217,0.514069
0.10311,0.51225
0.10405,0.509746
0.10499,0.507109
0.10593,0.504298
0.10687,0.501602
0.10782,0.498841
0.10876,0.496799
0.10970,0.494598
0.11064,0.492328
0.11158,0.489052
0.11252,0.48558
0.11347,0.481911
0.11441,0.47822
0.11535,0.47431
0.11629,0.470306
0.11723,0.466339
0.11817,0.462393
0.11911,0.458257
0.12006,0.454069
0.12100,0.4499
0.12194,0.445736
0.12288,0.441579
0.12382,0.437702
0.12476,0.433375
0.12571,0.429119
0.12665,0.424864
0.12759,0.420597
0.12853,0.416487
0.12947,0.412461
0.13041,0.408476
0.13136,0.404595
0.13230,0.400777
0.13324,0.396961
0.13418,0.393119
0.13512,0.389834
0.13606,0.386603
0.13701,0.383564
0.13795,0.38055
0.13889,0.377688
0.13983,0.374729
0.14077,0.372591
