# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = v
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,v
0.39323,-0.00105294
0.39511,-0.00102542
0.39699,-0.000997841
0.39887,-0.000971403
0.40075,-0.000945446
0.40263,-0.000920334
0.40452,-0.000895907
0.40640,-0.000871406
0.40828,-0.000847663
0.41016,-0.000822796
0.41204,-0.000798627
0.41392,-0.00077383
0.41580,-0.000749729
0.41769,-0.000724997
0.41957,-0.000700954
0.42145,-0.000677957
0.42333,-0.00065559
0.42521,-0.000633368
0.42709,-0.000612364
0.42897,-0.000592094
0.43086,-0.000572886
0.43274,-0.000551725
0.43462,-0.000531169
0.43650,-0.000510728
0.43838,-0.000490969
0.44026,-0.00047365
0.44214,-0.000457355
0.44403,-0.000443985
0.44591,-0.000432256
0.44779,-0.000419513
0.44967,-0.000408247
0.45155,-0.000397188
0.45343,-0.000387349
0.45532,-0.000377113
0.45720,-0.000368536
0.45908,-0.000357748
0.46096,-0.000344973
0.46284,-0.00033253
0.46472,-0.000320425
0.46660,-0.000308666
0.46849,-0.000297258
0.47037,-0.000286209
0.47225,-0.000275524
0.47413,-0.000265209
0.47601,-0.000255273
0.47789,-0.00024572
0.47977,-0.000236557
0.48166,-0.000227792
0.48354,-0.000219429
0.48542,-0.000211477
0.48730,-0.00020394
0.48918,-0.000196826
0.49106,-0.000190142
0.49294,-0.000183893
0.49483,-0.000178086
0.49671,-0.000172727
0.49859,-0.000167823
