# Gartling (1990) BFS benchmark, Re = 800 (step height, mean velocity)
# 1:2 expansion, domain 17 x 1, y in [-0.5, 0.5], step at x = 0
# station x = 7 behind the step; quantity = omega
# SOLID LINE extracted from Chan & Mittal, CTR Proc. Summer Program
#   1996, p.352 fig.3, rendered at 600 dpi by reference/gartling_digitize.py
# the o/triangle/square symbols in that figure are Chan & Mittal's own
#   5th/6th/7th order results and are NOT included here
# tabulated originals: Gartling, Int. J. Numer. Meth. Fluids 11 (1990) 953
y,omega
-0.16369,-0.709617
-0.16275,-0.682927
-0.16181,-0.655981
-0.16087,-0.629137
-0.15992,-0.601456
-0.15898,-0.574224
-0.15804,-0.546991
-0.15710,-0.520117
-0.15616,-0.493152
-0.15522,-0.468193
-0.15428,-0.442828
-0.15334,-0.418663
-0.15240,-0.394692
-0.15146,-0.371779
-0.15052,-0.349202
-0.14958,-0.328073
-0.14864,-0.307676
-0.14770,-0.289561
-0.14675,-0.267192
-0.14581,-0.250175
-0.14487,-0.231416
-0.14393,-0.211788
-0.14299,-0.19086
-0.14205,-0.167455
-0.14111,-0.143025
-0.14017,-0.11998
-0.13923,-0.0961261
-0.13829,-0.0780293
-0.13735,-0.058879
-0.13641,-0.0393683
-0.13547,-0.0124041
-0.13452,0.0157585
-0.13358,0.0454265
-0.13264,0.0757427
-0.13170,0.105962
-0.13076,0.137271
-0.12982,0.168713
-0.12888,0.200668
-0.12794,0.232602
-0.12700,0.264522
-0.12606,0.296456
-0.12512,0.327543
-0.12418,0.360334
-0.12324,0.391616
-0.12230,0.42696
-0.12135,0.461857
-0.12041,0.496904
-0.11947,0.531869
-0.11853,0.564402
-0.11759,0.596123
-0.11665,0.627759
-0.11571,0.658698
-0.11477,0.689948
-0.11383,0.721209
-0.11289,0.752159
-0.11195,0.779027
-0.11101,0.806394
-0.11007,0.831786
-0.10913,0.856482
-0.10818,0.879615
-0.10724,0.903067
-0.10630,0.925248
-0.10536,0.949563
-0.10442,0.967436
-0.10348,0.985317
-0.10254,1.00326
-0.10160,1.02044
-0.10066,1.03731
-0.09972,1.05761
-0.09878,1.07759
-0.09784,1.10549
-0.09690,1.1337
-0.09595,1.16246
-0.09501,1.19107
-0.09407,1.21979
-0.09313,1.2491
-0.09219,1.27634
-0.09125,1.30282
-0.09031,1.33045
-0.08937,1.35733
-0.08843,1.38496
-0.08749,1.41203
-0.08655,1.43964
-0.08561,1.46662
-0.08467,1.49341
-0.08373,1.51972
-0.08278,1.54593
-0.08184,1.5699
-0.08090,1.59354
-0.07996,1.61637
-0.07902,1.64037
-0.07808,1.66333
-0.07714,1.68669
-0.07620,1.70773
-0.07526,1.72901
-0.07432,1.74876
-0.07338,1.76902
-0.07244,1.78455
-0.07150,1.80182
-0.07056,1.8196
-0.06961,1.84311
-0.06867,1.86722
-0.06773,1.89114
-0.06679,1.91515
-0.06585,1.93668
-0.06491,1.95672
-0.06397,1.97786
-0.06303,1.99758
-0.06209,2.0235
-0.06115,2.04862
-0.06021,2.07433
-0.05927,2.10056
-0.05833,2.12692
-0.05738,2.15395
-0.05644,2.18127
-0.05550,2.20787
-0.05456,2.23386
-0.05362,2.25854
-0.05268,2.28279
-0.05174,2.30722
-0.05080,2.33119
-0.04986,2.3537
-0.04892,2.37637
-0.04798,2.39529
-0.04704,2.41552
-0.04610,2.43547
-0.04516,2.45604
-0.04421,2.47673
-0.04327,2.49731
-0.04233,2.51743
-0.04139,2.53756
-0.04045,2.55734
-0.03951,2.57668
-0.03857,2.59449
-0.03763,2.61088
-0.03669,2.62507
-0.03575,2.64208
-0.03481,2.65877
-0.03387,2.67645
-0.03293,2.69323
-0.03198,2.71049
-0.03104,2.72651
-0.03010,2.7427
-0.02916,2.75757
-0.02822,2.77867
-0.02728,2.79992
-0.02634,2.82125
-0.02540,2.84307
-0.02446,2.86478
-0.02352,2.88629
-0.02258,2.90776
-0.02164,2.92738
-0.02070,2.94716
-0.01976,2.96555
-0.01881,2.98449
-0.01787,3.00305
-0.01693,3.02109
-0.01599,3.0386
-0.01505,3.05635
-0.01411,3.07334
-0.01317,3.09054
-0.01223,3.10763
-0.01129,3.12454
-0.01035,3.14113
-0.00941,3.15741
-0.00847,3.17305
-0.00753,3.18792
-0.00659,3.20102
-0.00564,3.21512
-0.00470,3.22845
-0.00376,3.24128
-0.00282,3.25341
-0.00188,3.2652
-0.00094,3.27571
0.00000,3.28725
0.00094,3.29785
0.00188,3.30883
0.00282,3.31871
0.00376,3.33269
0.00470,3.34606
0.00564,3.35871
0.00659,3.37088
0.00753,3.38253
0.00847,3.39334
0.00941,3.40383
0.01035,3.41394
0.01129,3.42484
0.01223,3.43531
0.01317,3.44665
0.01411,3.45727
0.01505,3.46895
0.01599,3.48045
0.01693,3.49158
0.01787,3.50316
0.01881,3.51374
0.01976,3.52376
0.02070,3.53395
0.02164,3.54332
0.02258,3.55336
0.02352,3.56318
0.02446,3.57191
0.02540,3.58
0.02634,3.58844
0.02728,3.59628
0.02822,3.60711
0.02916,3.6175
0.03010,3.62776
0.03104,3.63763
0.03198,3.64678
0.03293,3.65556
0.03387,3.66394
0.03481,3.67188
0.03575,3.67908
0.03669,3.68599
0.03763,3.69315
0.03857,3.69984
0.03951,3.70737
0.04045,3.71448
0.04139,3.72086
0.04233,3.72697
0.04327,3.73289
0.04421,3.73826
0.04516,3.74381
0.04610,3.74878
0.04704,3.75407
0.04798,3.75925
0.04892,3.76392
0.04986,3.76833
0.05080,3.7716
0.05174,3.77422
0.05268,3.77617
0.05362,3.77743
